(0.526, 0.254, 0.486)
(0.533, -0.265, 0.438)
(0.553, -0.255, 0.459)
(0.489, -0.044, 0.420)
(0.552, -0.249, 0.457)
(0.534, 0.316, 0.393)
(0.485, 0.032, 0.416)
(0.520, -0.039, 0.563)
(0.490, 0.037, 0.416)
(0.518, -0.090, 0.469)
(0.479, -0.002, 0.306)
(0.521, -0.043, 0.563)
(0.547, 0.256, 0.421)
(0.520, -0.269, 0.372)
(0.549, 0.025, 0.552)
(0.544, -0.259, 0.390)
(0.470, 0.298, 0.309)
(0.544, -0.044, 0.499)
(0.486, 0.282, 0.337)
(0.569, -0.005, 0.570)
(0.484, -0.394, 0.263)
(0.525, -0.096, 0.403)
(0.509, -0.051, 0.355)
(0.508, -0.156, 0.443)
(0.515, -0.054, 0.354)
(0.546, -0.250, 0.385)
(0.539, 0.266, 0.421)
(0.518, -0.261, 0.365)
(0.539, 0.031, 0.548)
(0.478, 0.293, 0.340)
(0.559, -0.001, 0.566)
(0.539, -0.038, 0.495)
(0.488, -0.394, 0.257)
(0.526, -0.090, 0.402)
(0.477, -0.052, 0.557)
(0.491, -0.042, 0.355)
(0.539, 0.266, 0.420)
(0.543, 0.031, 0.547)
(0.479, 0.293, 0.338)
(0.561, -0.000, 0.564)
(0.538, -0.036, 0.494)
(0.520, -0.257, 0.362)
(0.489, -0.382, 0.255)
(0.540, -0.242, 0.383)
(0.528, -0.085, 0.396)
(0.456, 0.006, 0.239)
(0.548, -0.249, 0.383)
(0.474, -0.036, 0.355)
(0.508, -0.148, 0.437)
(0.470, 0.037, 0.351)
(0.483, -0.039, 0.354)
(0.541, 0.262, 0.421)
(0.545, 0.026, 0.548)
(0.541, -0.255, 0.382)
(0.509, -0.263, 0.363)
(0.560, -0.005, 0.564)
(0.480, 0.287, 0.338)
(0.540, -0.042, 0.492)
(0.511, -0.155, 0.437)
(0.480, -0.386, 0.255)
(0.524, -0.094, 0.398)
(0.482, -0.392, 0.254)
(0.486, 0.098, 0.366)
(0.517, -0.097, 0.397)
(0.546, 0.023, 0.542)
(0.507, -0.268, 0.362)
(0.558, -0.009, 0.560)
(0.546, 0.256, 0.413)
(0.539, -0.259, 0.380)
(0.544, -0.046, 0.489)
(0.492, -0.104, 0.563)
(0.496, -0.053, 0.348)
(0.463, 0.298, 0.305)
(0.508, -0.101, 0.396)
(0.483, 0.023, 0.344)
(0.475, -0.395, 0.255)
(0.481, 0.284, 0.329)
(0.452, -0.018, 0.231)
(0.510, -0.158, 0.434)
(0.421, -0.039, 0.236)
(0.481, -0.403, 0.255)
(0.543, -0.263, 0.386)
(0.548, 0.250, 0.421)
(0.554, 0.019, 0.552)
(0.540, -0.050, 0.496)
(0.494, -0.109, 0.570)
(0.520, -0.105, 0.402)
(0.561, -0.015, 0.568)
(0.505, -0.274, 0.370)
(0.467, 0.293, 0.312)
(0.504, -0.056, 0.355)
(0.476, -0.065, 0.559)
(0.509, -0.164, 0.440)
(0.486, 0.280, 0.337)
(0.471, 0.025, 0.355)
(0.486, -0.066, 0.555)
(0.430, -0.041, 0.240)
(0.473, 0.022, 0.354)
(0.486, 0.276, 0.337)
(0.553, 0.239, 0.414)
(0.552, 0.008, 0.544)
(0.501, -0.114, 0.395)
(0.466, 0.280, 0.305)
(0.490, -0.282, 0.361)
(0.520, -0.028, 0.555)
(0.508, -0.173, 0.433)
(0.521, -0.271, 0.379)
(0.514, -0.066, 0.344)
(0.542, -0.060, 0.489)
(0.488, 0.012, 0.344)
(0.490, -0.119, 0.563)
(0.437, -0.029, 0.236)
(0.485, 0.266, 0.330)
(0.543, 0.005, 0.534)
(0.502, -0.122, 0.556)
(0.466, 0.275, 0.297)
(0.549, 0.235, 0.404)
(0.525, -0.031, 0.547)
(0.490, -0.282, 0.355)
(0.541, -0.063, 0.481)
(0.525, -0.275, 0.372)
(0.487, 0.260, 0.321)
(0.490, -0.076, 0.545)
(0.523, 0.123, 0.549)
(0.504, -0.114, 0.388)
(0.453, -0.406, 0.249)
(0.500, -0.063, 0.339)
(0.457, -0.417, 0.247)
(0.551, 0.240, 0.400)
(0.537, 0.007, 0.529)
(0.503, -0.116, 0.385)
(0.534, -0.027, 0.544)
(0.541, -0.060, 0.476)
(0.462, 0.278, 0.291)
(0.490, -0.282, 0.352)
(0.492, -0.119, 0.552)
(0.527, -0.274, 0.369)
(0.504, -0.173, 0.422)
(0.505, -0.067, 0.334)
(0.459, -0.415, 0.244)
(0.487, 0.012, 0.332)
(0.477, 0.259, 0.318)
(0.491, 0.079, 0.348)
(0.463, -0.087, 0.248)
